7.519e+001 1.237e+002 2.185e+002 
5.727e+001 1.244e+002 2.275e+002 
3.865e+001 1.251e+002 2.350e+002 
1.948e+001 1.257e+002 2.409e+002 
-1.076e-001 1.264e+002 2.453e+002 
-1.998e+001 1.271e+002 2.480e+002 
-4.001e+001 1.278e+002 2.492e+002 
-6.006e+001 1.285e+002 2.488e+002 
-8.003e+001 1.291e+002 2.469e+002 
-9.979e+001 1.298e+002 2.434e+002 
-1.192e+002 1.305e+002 2.385e+002 
-1.383e+002 1.311e+002 2.321e+002 
-1.568e+002 1.318e+002 2.244e+002 
-1.746e+002 1.325e+002 2.153e+002 
-1.918e+002 1.331e+002 2.049e+002 
-2.082e+002 1.338e+002 1.934e+002 
-2.238e+002 1.345e+002 1.807e+002 
-2.384e+002 1.351e+002 1.670e+002 
-2.520e+002 1.358e+002 1.523e+002 
-2.646e+002 1.364e+002 1.366e+002 
-2.762e+002 1.371e+002 1.202e+002 
-2.866e+002 1.377e+002 1.031e+002 
-2.958e+002 1.384e+002 8.528e+001 
-3.039e+002 1.390e+002 6.691e+001 
-3.107e+002 1.397e+002 4.806e+001 
-3.163e+002 1.403e+002 2.880e+001 
-3.207e+002 1.410e+002 9.229e+000 
-3.238e+002 1.416e+002 -1.058e+001 
-3.257e+002 1.423e+002 -3.055e+001 
-3.264e+002 1.429e+002 -5.060e+001 
-3.258e+002 1.435e+002 -7.064e+001 
-3.240e+002 1.442e+002 -9.062e+001 
-3.210e+002 1.448e+002 -1.105e+002 
-3.168e+002 1.454e+002 -1.301e+002 
-3.115e+002 1.461e+002 -1.494e+002 
-3.050e+002 1.467e+002 -1.684e+002 
-2.974e+002 1.473e+002 -1.869e+002 
-2.888e+002 1.480e+002 -2.050e+002 
-2.791e+002 1.486e+002 -2.226e+002 
-2.684e+002 1.492e+002 -2.396e+002 
-2.568e+002 1.499e+002 -2.560e+002 
-2.443e+002 1.505e+002 -2.716e+002 
-2.310e+002 1.511e+002 -2.866e+002 
-2.168e+002 1.518e+002 -3.008e+002 
-2.018e+002 1.524e+002 -3.142e+002 
-1.862e+002 1.530e+002 -3.267e+002 
-1.699e+002 1.536e+002 -3.384e+002 
-1.530e+002 1.542e+002 -3.491e+002 
-1.355e+002 1.549e+002 -3.590e+002 
-1.175e+002 1.555e+002 -3.679e+002 
